1,Поломка оборудования,"станок, поломка, ремонт, оборудование",13
2,Сбой в электроснабжении,"электричество, свет, напряжение, щит",14
3,Отсутствие материалов,"сырье, материал, комплектующие, недостача",17
4,Брак продукции,"брак, дефект, качество, несоответствие",15
5,Заявка на инструмент,"инструмент, оснастка, приспособление",12
6,Запрос на обучение персонала,"обучение, тренинг, инструктаж, повышение квалификации",22
7,Вопрос по заработной плате,"зарплата, оклад, премия, аванс",21
8,Заявка на закупку,"закупка, приобретение, оборудование, материалы",17
9,Программное обеспечение,"софт, программа, 1С, система, сбой",2
10,Производственная задача,"задание, план, норматив, производство",2
11,Кадровый вопрос,"прием, увольнение, отпуск, больничный",22
12,Охрана труда,"травма, безопасность, инструктаж, СИЗ",22
