text,label,category
сломалась кран балка 102,0,Неисправность оборудования
замена подшипников главного привода 4,0,Неисправность оборудования
посторонний шум редукторе конвейера 1,0,Неисправность оборудования
ошибка позиционирования шпинделя станка 105,0,Неисправность оборудования
сломалась оснастка фрезерных работ,0,Неисправность оборудования
требуется диагностика компрессора 9,0,Неисправность оборудования
станок чпу 8 издает посторонний шум работе требуется диагностика,0,Неисправность оборудования
перегрев двигателя вытяжки цехе 8,0,Неисправность оборудования
требуется замена подшипников станке 5А,0,Неисправность оборудования
сбой панели управления линии 5,0,Неисправность оборудования
сломался фрезерный станок 105,0,Неисправность оборудования
неисправность датчика давления прессе 4,0,Неисправность оборудования
вибрация работе штамповочного пресса 103,0,Неисправность оборудования
не реагирует панель управления станком,0,Неисправность оборудования
пресс гидравлический пг 105 перестал набирать давление,0,Неисправность оборудования
произошла непредвиденная поломка станка,0,Неисправность оборудования
требуется диагностика неисправности узла,0,Неисправность оборудования
оборудование требует немедленного обслуживания,0,Неисправность оборудования
оборудование издает посторонний звук работе,0,Неисправность оборудования
токарный станок st 205 требует замены резцедержателя,0,Неисправность оборудования
требуется срочная замена детали,0,Неисправность оборудования
не запускается токарный станок после обеда,0,Неисправность оборудования
станок с ЧПУ не выходит на нулевую точку,0,Неисправность оборудования
сбой программы управления фрезерным станком,0,Неисправность оборудования
заклинило патрон токарного станка,0,Неисправность оборудования
разрушена направляющая суппорта станка,0,Неисправность оборудования
не работает система охлаждения инструмента,0,Неисправность оборудования
потеря точности обработки на станке,0,Неисправность оборудования
выход из строя шагового двигателя станка,0,Неисправность оборудования
отказ серводвигателя оси X станка,0,Неисправность оборудования
поломка шпиндельного узла фрезерного центра,0,Неисправность оборудования
неисправность гидростанции штамповочного пресса,0,Неисправность оборудования
сломана муфта сцепления конвейера,0,Неисправность оборудования
износ зубчатой передачи редуктора линии,0,Неисправность оборудования
поломка ременной передачи компрессора,0,Неисправность оборудования
остановка вентилятора системы охлаждения,0,Неисправность оборудования
неисправность концевого выключателя станка,0,Неисправность оборудования
не срабатывает тормоз электродвигателя,0,Неисправность оборудования
поломка механизма зажима детали,0,Неисправность оборудования
разрушение подшипника опорного вала,0,Неисправность оборудования
трещина в корпусе редуктора участка,0,Неисправность оборудования
неисправность датчика температуры двигателя,0,Неисправность оборудования
сбой в системе смазки станка,0,Неисправность оборудования
вышел из строя частотный преобразователь,0,Неисправность оборудования
поломка электромагнитного клапана системы,0,Неисправность оборудования
не работает концевой датчик положения,0,Неисправность оборудования
поломка цепной передачи транспортера,0,Неисправность оборудования
износ направляющих каретки станка,0,Неисправность оборудования
поломка рычажного механизма пресса,0,Неисправность оборудования
выход из строя насоса гидравлики,0,Неисправность оборудования
обрыв троса мостового крана,0,Неисправность оборудования
поломка захвата манипулятора линии,0,Неисправность оборудования
износ тормозных колодок конвейера,0,Неисправность оборудования
неисправность датчика скорости вращения,0,Неисправность оборудования
поломка подающего механизма штамповочного пресса,0,Неисправность оборудования
сбой системы ЧПУ обрабатывающего центра,0,Неисправность оборудования
поломка кулачкового механизма токарного автомата,0,Неисправность оборудования
износ щеток коллектора двигателя постоянного тока,0,Неисправность оборудования
не работает пневмозажим обрабатывающего центра,0,Неисправность оборудования
поломка поворотного стола обрабатывающего центра,0,Неисправность оборудования
разрыв шланга гидравлики гибочного станка,0,Неисправность оборудования
неисправность платы ЧПУ фрезерного станка,0,Неисправность оборудования
поломка инструментального магазина обрабатывающего центра,0,Неисправность оборудования
сбой в работе роботизированного манипулятора,0,Неисправность оборудования
неисправность позиционера сварочного робота,0,Неисправность оборудования
поломка горелки сварочного полуавтомата,0,Неисправность оборудования
износ плунжерной пары гидравлического пресса,0,Неисправность оборудования
поломка механизма регулировки зазора пресса,0,Неисправность оборудования
выход из строя энкодера оси станка,0,Неисправность оборудования
поломка пневматического зажима детали,0,Неисправность оборудования
неисправность гидравлической системы листогибочного пресса,0,Неисправность оборудования
поломка транспортёра стружки станка,0,Неисправность оборудования
выход из строя электрошпинделя обрабатывающего центра,0,Неисправность оборудования
неисправность системы балансировки шпинделя,0,Неисправность оборудования
поломка устройства автоматической смены инструмента,0,Неисправность оборудования
обрыв ременного привода вентилятора,0,Неисправность оборудования
неисправность тормозного резистора привода,0,Неисправность оборудования
поломка системы подачи смазки станка,0,Неисправность оборудования
неисправность гидравлического зажима приспособления,0,Неисправность оборудования
поломка делительной головки фрезерного станка,0,Неисправность оборудования
неисправность системы управления конвейером,0,Неисправность оборудования
поломка толкателя подающего механизма,0,Неисправность оборудования
неисправность датчика наличия детали в зажиме,0,Неисправность оборудования
поломка следящего привода оси инструмента,0,Неисправность оборудования
не включается монитор диспетчерской 25,1,Электрика / освещение
проверить заземление оборудования 3,1,Электрика / освещение
короткое замыкание сварочном аппарате 30,1,Электрика / освещение
искрит распределительный щит 16,1,Электрика / освещение
отсутствует освещение зоне 2,1,Электрика / освещение
нет освещения проходной цеха 1,1,Электрика / освещение
отключился электрощит сборочном цехе обесточена линия сборки,1,Электрика / освещение
механическом цехе 3 моргает освещение возможно скачки напряжения,1,Электрика / освещение
провести проверку электробезопасности цехах,1,Электрика / освещение
отсутствует подача электроэнергии цехе,1,Электрика / освещение
обнаружен оборванный провод участке 7 опасно,1,Электрика / освещение
нет напряжения на участке 8,1,Электрика / освещение
не включается освещение склада 24,1,Электрика / освещение
нет заземления оборудования участка 101,1,Электрика / освещение
не включается дежурное освещение на этаже 1,1,Электрика / освещение
мигает освещение офисе 25 этаже скачки напряжения,1,Электрика / освещение
не горят светильники зоне хранения 7,1,Электрика / освещение
сгорел предохранитель панели управления 104,1,Электрика / освещение
выбивает автомат при включении станка 102,1,Электрика / освещение
выбило пробки щитке участка 104,1,Электрика / освещение
трансформатор 25 издает гудение требуется проверка,1,Электрика / освещение
искрит розетка серверной комнате 16,1,Электрика / освещение
пропало напряжение половине офиса 8 этажа,1,Электрика / освещение
потемнел выключатель кабинете 20 возможно оплавление,1,Электрика / освещение
вышел строя светодиодный светильник 30 офисе 9,1,Электрика / освещение
перегрев электрощита 202 требуется проверка,1,Электрика / освещение
не работает розеточная группа переговорной 204,1,Электрика / освещение
мигает свет коридоре 1 этаже,1,Электрика / освещение
неисправна проводка кабинете 201 требуется проверка,1,Электрика / освещение
короткое замыкание удлинителе 202 офисе 6,1,Электрика / освещение
не работает розетка рабочем месте 104,1,Электрика / освещение
не работает аварийный выключатель линии 16,1,Электрика / освещение
требуется замена кабеля питания конвейера 11,1,Электрика / освещение
вырубило автомат щитке 9 этажа,1,Электрика / освещение
щиток 5 греется при нагрузке требуется ревизия,1,Электрика / освещение
удар током от корпуса станка 7,1,Электрика / освещение
требуется замена ламп дневного света кабинете 201,1,Электрика / освещение
замена автоматических выключателей щитке 11,1,Электрика / освещение
перегрелся кабель питания компрессора 4,1,Электрика / освещение
не работает уличное освещение парковки,1,Электрика / освещение
перегорела лампа 3 цехе 15 замените,1,Электрика / освещение
не горит аварийное освещение выходе 4,1,Электрика / освещение
не работает розетка в комнате отдыха персонала,1,Электрика / освещение
перегорел предохранитель на пульте управления станком,1,Электрика / освещение
не включается дежурное освещение на складе,1,Электрика / освещение
замигало освещение в механосборочном цехе,1,Электрика / освещение
не работает подсветка станочного пульта управления,1,Электрика / освещение
нет напряжения на сварочном посту,1,Электрика / освещение
нужно заменить лампы над рабочими столами в цехе,1,Электрика / освещение
сгорел контакт пускателя насосной станции,1,Электрика / освещение
перегрелся щиток освещения на втором этаже,1,Электрика / освещение
нет напряжения в розетках лаборатории,1,Электрика / освещение
замена прожектора наружного освещения склада,1,Электрика / освещение
не включается аварийный светильник у выхода,1,Электрика / освещение
перебой в питании монтажного участка,1,Электрика / освещение
выбивает УЗО при подключении сварочного инвертора,1,Электрика / освещение
обнаружены следы горения на клеммнике щита,1,Электрика / освещение
потемнела изоляция кабеля у станка,1,Электрика / освещение
нет освещения в коридоре технического этажа,1,Электрика / освещение
не горит световой сигнал пожарной тревоги,1,Электрика / освещение
выбивает автомат при включении вентилятора,1,Электрика / освещение
нагревается кабельный лоток у распределительного щита,1,Электрика / освещение
не работают розетки в новом офисном помещении,1,Электрика / освещение
замена люминесцентных ламп в производственном цехе,1,Электрика / освещение
замигало освещение в бухгалтерии третьего этажа,1,Электрика / освещение
нет электропитания у рабочего места технолога,1,Электрика / освещение
нужна проверка заземления сварочных постов,1,Электрика / освещение
не горит подсветка числового индикатора на щите,1,Электрика / освещение
замена предохранителей щита управления конвейером,1,Электрика / освещение
выбивает дифавтомат при включении оборудования,1,Электрика / освещение
нет света в раздевалке мужского персонала,1,Электрика / освещение
сгорела обмотка пускателя электродвигателя вентиляции,1,Электрика / освещение
замена кабеля питания сварочного аппарата,1,Электрика / освещение
не работает освещение над упаковочной линией,1,Электрика / освещение
нагрев клеммного зажима в распределительном щите,1,Электрика / освещение
искрит розетка в зоне монтажа изделий,1,Электрика / освещение
потеря фазы в питании трёхфазного электродвигателя,1,Электрика / освещение
не работает концевой выключатель ворот цеха,1,Электрика / освещение
нет питания на пульте оператора линии,1,Электрика / освещение
нарушена изоляция питающего кабеля конвейера,1,Электрика / освещение
не горит рабочее освещение над слесарными тисками,1,Электрика / освещение
выгорел разъём питания в электрошкафу станка,1,Электрика / освещение
не работает автоматическое управление освещением склада,1,Электрика / освещение
замена уличного фонаря у проходной предприятия,1,Электрика / освещение
брак партии деталей 12,2,Брак / качество
выявлен брак партии фланцев 204,2,Брак / качество
выявлен брак партии корпусных деталей 12 требуется разбраковка,2,Брак / качество
отклонение плоскостности плиты 101 от нормативного значения,2,Брак / качество
неправильный цвет окраски изделий партии 9,2,Брак / качество
несоответствие размеров вала техническому заданию 202,2,Брак / качество
несоответствие диаметра отверстий корпуса 2 чертежу,2,Брак / качество
несоответствие упаковки изделий требованиям партия 105,2,Брак / качество
поломка зубьев шестерни изделие 20 дефект изготовления,2,Брак / качество
обнаружен дефект лакокрасочного покрытия партии 25,2,Брак / качество
выявлены дефекты механической обработки вала 4,2,Брак / качество
выявлен брак резьбы на деталях партии 15,2,Брак / качество
выявлена утечка прокладок изделиях партии 3,2,Брак / качество
партия 25 литья имеет раковины требуется разбраковка,2,Брак / качество
обнаружен облом сверла внутри детали 10,2,Брак / качество
дефект поверхности хромирования деталей партии 203,2,Брак / качество
выявлена разнотолщинность листового проката партии 102,2,Брак / качество
несоответствие параметров уплотнения 101 требованиям,2,Брак / качество
несоответствие посадки подшипника изделии 205 норме,2,Брак / качество
несоответствие маркировки тары упаковки партии 204,2,Брак / качество
отклонение межосевого расстояния редуктора 12 от нормы,2,Брак / качество
деформация корпуса редуктора 30 при сборке брак,2,Брак / качество
несоответствие биения вала 7 требованиям чертежа,2,Брак / качество
выявлен брак полимерного покрытия деталей партии 104,2,Брак / качество
несоответствие давления настройки клапана 3 паспорту,2,Брак / качество
выявлен брак покраски корпусов партии 2,2,Брак / качество
деформация фланца изделии 103 требуется замена,2,Брак / качество
несоответствие прочности на разрыв материала партии 8,2,Брак / качество
выявлен брак литья алюминия партия 201 раковины,2,Брак / качество
выявлена неоднородность структуры материала партии 10,2,Брак / качество
обнаружены трещины корпусных деталях партии 3,2,Брак / качество
деформация корпуса изделий партии 204 при сборке,2,Брак / качество
неравномерность нанесения краски изделиях партии 8,2,Брак / качество
отклонение массы изделий партии 204 от нормы,2,Брак / качество
отклонение по твердости зубьев шестерни 4,2,Брак / качество
несоответствие шероховатости поверхности 15 требованиям,2,Брак / качество
обнаружена раковина в центре отливки 9 брак,2,Брак / качество
несоответствие кромки реза заготовок партии 20,2,Брак / качество
