1,"Станок ЧПУ №345 издает посторонний шум при работе, требуется диагностика",1,4,in_progress,2026-03-25 08:30:00,6,8
2,Пресс гидравлический ПГ-125 перестал набирать давление,1,5,assigned,2026-03-25 09:15:00,9,8
3,Токарный станок ST-18 требует замены резцедержателя,1,3,new,2026-03-25 10:00:00,5,
4,"В механическом цехе №2 моргает освещение, возможно скачки напряжения",2,3,resolved,2026-03-24 14:20:00,4,11
5,"Отключился электрощит в сборочном цехе, обесточена линия сборки",2,5,escalated,2026-03-25 07:45:00,10,11
6,Закончилась сталь 45Х диаметром 50мм для механического цеха №1,3,4,assigned,2026-03-24 11:30:00,6,19
7,Срочно требуется сварочная проволока Св-08Г2С для сборочного цеха,3,4,in_progress,2026-03-25 09:00:00,10,19
8,"Выявлен брак в партии корпусных деталей №487, требуется разбраковка",4,4,assigned,2026-03-24 15:45:00,6,15
9,"При испытаниях насос Н-45 не выдерживает давление, конструкторский дефект",4,5,escalated,2026-03-23 10:00:00,12,16
10,Необходимо заказать твердосплавные пластины для токарных работ,5,2,resolved,2026-03-22 13:20:00,5,12
11,Требуется новый комплект метчиков и плашек,5,2,new,2026-03-25 08:00:00,4,
12,Организовать обучение операторов ЧПУ новому программному обеспечению,6,3,in_progress,2026-03-20 09:00:00,1,22
13,Провести внеплановый инструктаж по технике безопасности,12,4,assigned,2026-03-24 16:30:00,3,22
14,Неправильно начислена премия за февраль для сотрудников цеха №1,7,5,escalated,2026-03-22 11:15:00,2,20
15,"Задержка аванса за март, сотрудники не получили выплату",7,5,in_progress,2026-03-25 08:45:00,4,20
16,Приобрести новый компрессор взамен вышедшего из строя,8,4,assigned,2026-03-21 14:00:00,8,17
17,Не открывается 1С:Предприятие в бухгалтерии,9,4,in_progress,2026-03-25 10:15:00,18,2
18,Требуется установка CAD-системы для конструкторского отдела,9,3,new,2026-03-24 12:00:00,12,
19,Скорректировать месячный план производства с учетом простоя оборудования,10,4,assigned,2026-03-24 09:30:00,1,20
20,Требуется сварщик 6 разряда в сборочный цех,11,3,in_progress,2026-03-23 11:00:00,10,22
21,Оформление отпуска для сотрудника Петрова И.И.,11,2,resolved,2026-03-22 15:30:00,9,22
22,Провести замену огнетушителей в цехах (срок годности истек),12,3,assigned,2026-03-23 13:45:00,3,22
23,Требуется замена подшипников на станке 3М151,1,4,new,2026-03-26 08:00:00,21,
24,Нет освещения в проходной цеха №1,2,3,assigned,2026-03-26 08:30:00,22,39
25,Нужна сварочная проволока 1.2 мм для сборочного цеха,3,4,in_progress,2026-03-26 09:15:00,27,48
26,Выявлен брак в партии фланцев №893,4,4,assigned,2026-03-26 10:00:00,31,42
27,Сломалась оснастка для фрезерных работ,5,3,new,2026-03-26 10:45:00,24,
28,Организовать обучение операторов работе с новым ПО,6,3,assigned,2026-03-26 11:30:00,23,55
29,Вопрос по расчету сверхурочных за март,7,4,in_progress,2026-03-26 12:15:00,33,52
30,Закупить новую партию фрез для механического цеха,8,3,new,2026-03-26 13:00:00,25,
31,Сбой в системе учета материалов на складе,9,4,assigned,2026-03-26 13:45:00,47,5
32,Изменить производственное задание на сегодня,10,2,resolved,2026-03-26 14:30:00,29,30
33,Прием на работу нового инженера-технолога,11,2,closed,2026-03-26 15:00:00,26,55
34,Провести проверку электробезопасности в цехах,12,4,assigned,2026-03-26 15:30:00,34,55
