1,Поломка оборудования,"станок, поломка, ремонт, оборудование",13
2,Сбой в электроснабжении,"электричество, свет, напряжение, щит",14
3,Отсутствие материалов,"сырье, material, комплектующие, недостача",17
4,Брак продукции,"брак, дефект, качество, несоответствие",15
5,Заявка на инструмент,"инструмент, оснастка, приспособление",12
6,Запрос на обучение персонала,"обучение, тренинг, инструктаж, повышение квалификации",22
7,Вопрос по заработной плате,"зарплата, оклад, премия, аванс",21
8,Заявка на закупку,"закупка, приобретение, оборудование, материалы",17
9,Программное обеспечение,"софт, программа, 1С, система, сбой",2
10,Производственная задача,"задание, plan, норматив, производство",2
11,Кадровый вопрос,"прием, увольнение, отпуск, больничный",22
12,Охрана труда,"травма, безопасность, инструктаж, СИЗ",22
13,Офисная техника,"принтер, сканер, мышь, клавиатура, монитор",7
14,Уборка / клининг,"уборка, грязь, мусор, помыть, раковина",23
15,Цензура,"война, убийство, СВО, антисемитизм, фашизм, бля, водка, кокаин, мефедрон, хуй, пизда, ебать, иран, дедов",22
