1,Дирекция завода,
2,Производственный департамент,1
3,Технический департамент,1
4,Департамент качества,1
5,Департамент снабжения и логистики,1
6,Финансово-экономический департамент,1
7,Департамент по работе с персоналом,1
8,Механический цех №1,2
9,Механический цех №2,2
10,Сборочный цех,2
11,Литейный цех,2
12,Инструментальный цех,3
13,Ремонтно-механический цех,3
14,Энергоцех,3
15,Отдел технического контроля (ОТК),4
16,Испытательная лаборатория,4
17,Отдел закупок,5
18,Склад готовой продукции,5
19,Склад материалов,5
20,Планово-экономический отдел,6
21,Бухгалтерия,6
22,Отдел кадров,7
23,Административно-хозяйственный отдел,7
