1,"Станок ЧПУ №345 издает посторонний шум при работе, требуется диагностика",1,4,in_progress,2026-03-25 08:30:00,6,8
2,Пресс гидравлический ПГ-125 перестал набирать давление,1,5,assigned,2026-03-25 09:15:00,9,8
3,Токарный станок ST-18 требует замены резцедержателя,1,3,new,2026-03-25 10:00:00,5,
4,"В механическом цехе №2 моргает освещение, возможно скачки напряжения",2,3,resolved,2026-03-24 14:20:00,4,11
5,"Отключился электрощит в сборочном цехе, обесточена линия сборки",2,5,escalated,2026-03-25 07:45:00,10,11
6,Закончилась сталь 45Х диаметром 50мм для механического цеха №1,3,4,assigned,2026-03-24 11:30:00,6,19
7,Срочно требуется сварочная проволока Св-08Г2С для сборочного цеха,3,4,in_progress,2026-03-25 09:00:00,10,19
8,"Выявлен брак в партии корпусных деталей №487, требуется разбраковка",4,4,assigned,2026-03-24 15:45:00,6,15
9,"При испытаниях насос Н-45 не выдерживает давление, конструкторский дефект",4,5,escalated,2026-03-23 10:00:00,12,16
10,Необходимо заказать твердосплавные пластины для токарных работ,5,2,resolved,2026-03-22 13:20:00,5,12
11,Требуется новый комплект метчиков и плашек,5,2,new,2026-03-25 08:00:00,4,
12,Организовать обучение операторов ЧПУ новому программному обеспечению,6,3,in_progress,2026-03-20 09:00:00,1,22
13,Провести внеплановый инструктаж по технике безопасности,12,4,assigned,2026-03-24 16:30:00,3,22
14,Неправильно начислена премия за февраль для сотрудников цеха №1,7,5,escalated,2026-03-22 11:15:00,2,20
15,"Задержка аванса за март, сотрудники не получили выплату",7,5,in_progress,2026-03-25 08:45:00,4,20
16,Приобрести новый компрессор взамен вышедшего из строя,8,4,assigned,2026-03-21 14:00:00,8,17
17,Не открывается 1С:Предприятие в бухгалтерии,9,4,in_progress,2026-03-25 10:15:00,18,2
18,Требуется установка CAD-системы для конструкторского отдела,9,3,new,2026-03-24 12:00:00,12,
19,Скорректировать месячный план производства с учетом простоя оборудования,10,4,assigned,2026-03-24 09:30:00,1,20
